run,label,frame,reward,smoothed_reward
rlgames-lstm-sapg-seed0,rl_games LSTM,0,20.709213256835938,20.709213256835938
rlgames-lstm-sapg-seed0,rl_games LSTM,98304,163.451171875,92.08019256591797
rlgames-lstm-sapg-seed0,rl_games LSTM,196608,218.89788818359375,134.3527577718099
rlgames-lstm-sapg-seed0,rl_games LSTM,294912,218.89788818359375,155.48904037475586
rlgames-lstm-sapg-seed0,rl_games LSTM,393216,218.89788818359375,168.17080993652343
rlgames-lstm-sapg-seed0,rl_games LSTM,491520,218.89788818359375,176.6253229777018
rlgames-lstm-sapg-seed0,rl_games LSTM,589824,218.89788818359375,182.6642608642578
rlgames-lstm-sapg-seed0,rl_games LSTM,688128,218.89788818359375,187.1934642791748
rlgames-lstm-sapg-seed0,rl_games LSTM,786432,218.89788818359375,190.71617804633246
rlgames-lstm-sapg-seed0,rl_games LSTM,884736,218.89788818359375,193.5343490600586
rlgames-lstm-sapg-seed0,rl_games LSTM,983040,218.89788818359375,195.84012534401634
rlgames-lstm-sapg-seed0,rl_games LSTM,1081344,218.89788818359375,197.7616055806478
rlgames-lstm-sapg-seed0,rl_games LSTM,1179648,218.89788818359375,199.3874734731821
rlgames-lstm-sapg-seed0,rl_games LSTM,1277952,218.89788818359375,200.78107452392578
rlgames-lstm-sapg-seed0,rl_games LSTM,1376256,218.89788818359375,201.98886210123698
rlgames-lstm-sapg-seed0,rl_games LSTM,1474560,218.89788818359375,203.04567623138428
rlgames-lstm-sapg-seed0,rl_games LSTM,1572864,218.89788818359375,203.9781592873966
rlgames-lstm-sapg-seed0,rl_games LSTM,1671168,218.89788818359375,204.8070331149631
rlgames-lstm-sapg-seed0,rl_games LSTM,1769472,218.89788818359375,205.54865706594367
rlgames-lstm-sapg-seed0,rl_games LSTM,1867776,218.89788818359375,206.21611862182618
rlgames-lstm-sapg-seed0,rl_games LSTM,1966080,218.89788818359375,206.82001241048178
rlgames-lstm-sapg-seed0,rl_games LSTM,2064384,218.89788818359375,207.36900676380503
rlgames-lstm-sapg-seed0,rl_games LSTM,2162688,218.89788818359375,207.8702624777089
rlgames-lstm-sapg-seed0,rl_games LSTM,2260992,218.89788818359375,208.32974688212076
rlgames-lstm-sapg-seed0,rl_games LSTM,2359296,218.89788818359375,208.75247253417967
rlgames-lstm-sapg-seed0,rl_games LSTM,2457600,218.89788818359375,209.1426808283879
rlgames-lstm-sapg-seed0,rl_games LSTM,2555904,218.89788818359375,209.50398480450664
rlgames-lstm-sapg-seed0,rl_games LSTM,2654208,218.89788818359375,209.83948135375977
rlgames-lstm-sapg-seed0,rl_games LSTM,2752512,218.89788818359375,210.15184020996094
rlgames-lstm-sapg-seed0,rl_games LSTM,2850816,218.89788818359375,210.44337514241536
rlgames-lstm-sapg-seed0,rl_games LSTM,2949120,218.89788818359375,210.71610136955016
rlgames-lstm-sapg-seed0,rl_games LSTM,3047424,218.89788818359375,210.971782207489
